datetime,temperature_c,location_name,location_type
2026-03-20 06:00,22.1,Green Village,rural
2026-03-20 09:00,25.6,Green Village,rural
2026-03-20 12:00,30.2,Green Village,rural
2026-03-20 15:00,31.6,Green Village,rural
2026-03-20 18:00,28.7,Green Village,rural
2026-03-20 21:00,25.9,Green Village,rural
2026-03-21 06:00,22.8,Green Village,rural
2026-03-21 09:00,26.1,Green Village,rural
2026-03-21 12:00,30.8,Green Village,rural
2026-03-21 15:00,32.0,Green Village,rural
2026-03-21 18:00,29.2,Green Village,rural
2026-03-21 21:00,26.4,Green Village,rural
