datetime,temperature_c,location_name,location_type
2026-03-20 06:00,21.4,Highland Fields,rural
2026-03-20 09:00,24.7,Highland Fields,rural
2026-03-20 12:00,29.2,Highland Fields,rural
2026-03-20 15:00,30.6,Highland Fields,rural
2026-03-20 18:00,27.8,Highland Fields,rural
2026-03-20 21:00,25.0,Highland Fields,rural
2026-03-21 06:00,22.1,Highland Fields,rural
2026-03-21 09:00,25.3,Highland Fields,rural
2026-03-21 12:00,29.9,Highland Fields,rural
2026-03-21 15:00,31.2,Highland Fields,rural
2026-03-21 18:00,28.4,Highland Fields,rural
2026-03-21 21:00,25.5,Highland Fields,rural
