datetime,temperature_c,location_name,location_type
2026-03-20 06:00,25.8,Metro Core,urban
2026-03-20 09:00,29.5,Metro Core,urban
2026-03-20 12:00,34.1,Metro Core,urban
2026-03-20 15:00,35.4,Metro Core,urban
2026-03-20 18:00,32.6,Metro Core,urban
2026-03-20 21:00,29.8,Metro Core,urban
2026-03-21 06:00,26.3,Metro Core,urban
2026-03-21 09:00,30.2,Metro Core,urban
2026-03-21 12:00,34.6,Metro Core,urban
2026-03-21 15:00,36.0,Metro Core,urban
2026-03-21 18:00,33.1,Metro Core,urban
2026-03-21 21:00,30.1,Metro Core,urban
